LR_00025_Run_1,LR_00025_Run_2,LR_00025_Run_3,LR_0005_Run_1,LR_0005_Run_2,LR_0005_Run_3,LR_00075_Run_1,LR_00075_Run_2,LR_00075_Run_3,LR_001_Run_1,LR_001_Run_2,LR_001_Run_3
0,0,0,0,0,0,0,0,0,0,0,0
-94.49308014,-186.0913696,-50.62157059,-40.22055435,-229.7738647,-119.8881149,-25.29061317,-48.41300201,-50.56142044,-90.55632782,-49.42996597,-59.73678207
-109.4893494,-182.6160278,-77.44845581,-123.0602112,-194.4619751,-146.1743622,-66.96663666,-87.18601227,-66.33777618,-90.9855423,-96.50765228,-143.4937286
-168.0884247,-230.3346252,-53.91090393,-103.4642487,-251.7847443,-137.0254059,-79.68826294,-81.74452972,-96.6042099,-134.3805695,-178.0089569,-133.0315094
-160.5747223,-277.928009,-65.44358063,-104.2954636,-220.3244934,-163.954483,-112.2567749,-105.4467087,-96.84615326,-137.4227142,-182.3283386,-128.5343933
-192.0643768,-256.3117676,-68.72930908,-143.1157532,-200.0401154,-174.7766876,-110.9136581,-94.63437653,-128.1696167,-124.1498947,-174.3409882,-117.3864136
-198.1993256,-258.7224731,-80.32515717,-178.4749451,-248.2421265,-164.691803,-106.7977371,-119.096489,-131.4229736,-132.4331055,-174.8388672,-113.2099762
-198.4208527,-209.082428,-129.6792145,-173.8468018,-232.4640656,-193.605957,-121.3119736,-112.9936142,-129.6401367,-144.6351013,-167.4116974,-148.6711731
-220.1336975,-233.8744659,-106.5596619,-165.5349426,-223.4090118,-198.030014,-127.2513199,-122.3267593,-123.9502869,-141.9862366,-185.4143829,-136.9298096
-202.2240601,-224.2076721,-114.5469513,-170.9854889,-210.8860931,-197.2768097,-125.4834061,-151.0419159,-120.928154,-147.0209808,-189.0672607,-148.7378082
-195.7335815,-198.7261505,-131.316864,-171.2646637,-212.6231079,-187.7991791,-124.5761719,-145.0576019,-145.9197998,-159.3914185,-179.7582703,-144.609848
-203.700882,-189.2998199,-130.761734,-163.7267303,-199.2190247,-188.2665405,-150.3065491,-160.4841156,-136.3417511,-155.142746,-175.367569,-144.4526367
-200.2019958,-182.2211609,-132.1260223,-156.0455627,-190.7459106,-177.4025116,-147.803009,-154.7461853,-130.2640839,-162.4474487,-187.7363281,-149.7955475
-192.1943665,-177.7361298,-130.3041229,-151.4739685,-185.132309,-182.9257965,-144.2170868,-152.1875,-150.9836578,-161.0353088,-177.8446198,-149.0860138
-187.9961853,-172.4672089,-132.1704254,-155.8770294,-194.576889,-177.552887,-148.8075104,-140.9227142,-144.0695648,-173.8314972,-177.5997314,-152.4662476
-178.5735626,-166.8786316,-142.6449585,-162.3402557,-188.1587219,-170.5539551,-139.4599609,-137.1257477,-170.7978821,-187.2710876,-173.6250916,-151.915863
-179.1495667,-165.3878632,-152.2673798,-167.7509918,-195.1087646,-167.1779785,-134.960495,-133.5195313,-166.8511353,-182.4272919,-169.6516266,-153.8209686
-181.3397369,-164.1336212,-163.4217834,-168.3844147,-200.6177368,-166.2633362,-133.1401672,-132.3217316,-166.9176178,-179.7614594,-170.8107452,-159.6992645
-191.8278046,-160.8855591,-159.3088379,-168.7452393,-199.526123,-155.3431091,-133.0774841,-125.9651184,-159.6248169,-175.7761383,-174.2181854,-162.4901581
-189.2669678,-165.868576,-156.5990143,-163.8525085,-201.725296,-156.4367676,-139.5688019,-127.6950684,-156.7361908,-173.9044189,-169.4592896,-162.6911926
-187.0392609,-167.0612488,-170.4618378,-161.8499603,-201.9450073,-146.6532135,-138.6685486,-125.8560791,-156.0411224,-168.9215698,-166.9378662,-160.2696381
-182.0421295,-164.5019836,-171.6139984,-166.5300446,-199.1561584,-148.4266052,-142.9255219,-138.9686432,-162.7093201,-171.1438599,-162.7718964,-160.5897522
-179.1929626,-171.7925873,-175.7922974,-164.2208099,-192.5063629,-149.2017822,-139.6390533,-136.8664551,-163.02771,-168.6824341,-160.6021423,-160.9740448
-176.2417297,-179.6736908,-181.3834534,-164.3779449,-188.6755066,-153.2091827,-138.5756073,-138.4603577,-158.8178101,-166.146759,-157.6843719,-158.3051758
-171.5830383,-191.3605194,-180.7432556,-161.4754639,-186.0941162,-151.9529266,-142.4822998,-136.697876,-162.567276,-165.6430817,-154.3834534,-160.0033875
-168.9973602,-188.4838562,-177.9383698,-155.0065765,-183.293869,-150.7319336,-141.9329224,-133.7139282,-162.5958557,-162.483902,-160.2742462,-160.1868134
-165.3697357,-185.1802673,-176.8231812,-155.2131653,-184.7989044,-152.0070801,-140.916748,-132.3452301,-168.499176,-162.8682098,-158.2410126,-159.0982513
-168.7286377,-183.1009827,-176.5686798,-152.126236,-180.5448151,-154.6548309,-139.3587341,-131.4403229,-167.1612549,-159.8805695,-160.7488403,-156.5858765
-166.9813538,-180.7203064,-175.2086334,-156.4634247,-183.6873169,-154.584259,-136.1287689,-129.1708832,-163.5903778,-158.2402802,-163.0888824,-154.0449371
-164.1714325,-179.7580872,-179.6257935,-166.2467041,-182.2148132,-151.8885345,-135.1056671,-129.8657379,-163.9569092,-153.6421204,-161.070282,-152.1597595
-165.7255249,-176.6639252,-182.8332367,-164.9732056,-179.0885925,-151.4130096,-139.2416687,-129.9320831,-160.7696533,-151.0626831,-162.665451,-148.650116
-170.1235352,-174.4208832,-185.4836884,-171.66716,-177.2902222,-148.1672211,-134.5088959,-128.9237518,-158.4989929,-147.3056183,-162.6937866,-146.9803162
-171.4274292,-175.7906952,-181.5561523,-172.4289398,-174.7249756,-148.4467926,-132.1349487,-133.1015015,-157.0009613,-146.7577209,-161.7041168,-146.7603455
-173.0458984,-173.6259918,-182.8404236,-169.9943085,-179.5560455,-151.3571625,-129.3278961,-138.7138824,-151.9308777,-142.4965668,-159.9201202,-145.2170258
-175.2907562,-172.7609863,-185.524826,-174.6714478,-178.038208,-150.3665466,-129.5011139,-137.4946136,-151.651535,-142.9013672,-160.1969757,-143.6834869
-175.3852692,-182.3197632,-185.023819,-172.7921448,-174.3298645,-148.6418152,-128.526535,-137.1613464,-149.9211578,-141.6855164,-159.3201294,-142.4331818
-174.5957031,-181.5552521,-187.3261261,-177.4628448,-172.6266785,-148.476944,-125.0534515,-135.2281799,-148.4311523,-140.5661163,-156.6073456,-141.7229462
-171.6117554,-179.973877,-185.9546814,-175.259491,-171.4574585,-147.717514,-127.114357,-132.3702698,-147.1821289,-141.8967133,-155.9396667,-141.3199615
-171.55867,-179.6559906,-183.2418823,-172.0796509,-169.6636047,-146.8476715,-127.2477798,-134.3273621,-149.0902557,-139.1130219,-153.2892761,-145.0474548
-173.7114868,-177.4780731,-185.7325745,-170.1503601,-168.6285248,-145.0582886,-125.7181625,-134.4188995,-147.0573883,-136.8548126,-154.009079,-143.5527954
-171.6598206,-180.1074524,-180.3977356,-172.5388184,-164.4358368,-143.1071472,-124.719101,-136.7567596,-147.5548248,-136.4870911,-158.7235718,-141.2486267
-172.5610657,-176.3391876,-183.2152863,-170.7254639,-163.7637024,-141.8430786,-122.8258209,-138.9345093,-151.7592163,-135.7264099,-161.421051,-141.166275
-170.3336182,-176.6959686,-185.6684875,-168.2884674,-160.9768219,-140.3783875,-122.608757,-137.975174,-149.4469147,-136.3188782,-161.1727295,-146.6412354
-169.2583923,-175.5550385,-190.2026672,-166.5953217,-158.5318146,-136.6596527,-121.2604904,-136.7395477,-150.7739868,-136.2743988,-159.5361938,-147.9467468
-167.1971893,-173.3801117,-188.6663971,-164.890976,-157.5174103,-137.2627563,-123.3921967,-137.5672455,-148.8170013,-134.5954132,-157.7727509,-149.9291992
-167.8303375,-176.211853,-187.9433136,-164.3805542,-156.1607666,-139.1869354,-121.8843842,-136.4089813,-147.628891,-133.9792786,-155.7014771,-147.7896271
-166.777359,-173.669632,-192.219101,-162.9663696,-155.4025879,-138.1193085,-122.5908127,-137.820755,-145.9713898,-133.1516876,-153.2801208,-145.5063782
-165.0515289,-172.4659424,-191.0771942,-161.2219849,-154.2586517,-136.3298645,-123.0081558,-138.3322144,-143.7995758,-131.7297058,-150.8911591,-144.159668
-166.3755646,-170.6174316,-189.6752319,-161.4169464,-156.0748138,-136.5012512,-121.5064926,-138.2690887,-142.3366241,-130.2129364,-150.1904297,-142.8239288
-165.0381927,-168.9748688,-185.6770782,-166.2000427,-154.3814392,-136.6927185,-120.2452469,-136.1482239,-140.9230347,-128.6941223,-149.7797852,-141.3031158
-162.5428467,-167.2992096,-183.6504059,-164.2914886,-152.6736603,-136.941925,-119.4702301,-135.1459961,-140.4303741,-126.3516693,-149.0762939,-140.4878387
-158.7383118,-165.8000641,-181.9772034,-161.8153381,-150.3377228,-138.9731598,-119.5102615,-133.4477539,-138.886734,-126.1179504,-148.1294861,-138.9299011
-161.2837067,-164.5809326,-183.2201385,-159.8771973,-149.0626526,-138.2828064,-119.4244461,-132.8271484,-138.1023407,-126.0901337,-146.5288696,-138.2932892
-160.6655579,-162.613739,-181.230423,-160.4399719,-147.8524017,-136.6019745,-119.082756,-131.4996948,-136.9015656,-126.1783142,-146.816452,-136.9485779
-159.8857269,-161.2321777,-180.6359558,-160.1307983,-146.7173462,-135.1501312,-118.727417,-133.2323608,-136.7032471,-125.2639542,-147.4667511,-135.9769135
-158.593399,-159.4823914,-179.6648712,-160.2530365,-145.7285767,-134.3928223,-119.5795746,-132.5876312,-135.3128815,-124.4680099,-145.1869965,-137.1787109
-156.3883972,-158.6328125,-178.1059113,-159.1186066,-147.4139404,-134.4542389,-117.9926224,-131.1567383,-135.8194122,-123.4744415,-143.9280243,-136.9797516
-155.9245148,-158.9927521,-179.0917816,-157.5118561,-148.4500732,-133.3179626,-117.9582748,-131.0474548,-136.6037445,-123.819725,-142.7362213,-135.1394806
-154.9745483,-159.4415894,-177.3259735,-156.3045807,-146.5059967,-134.2680664,-117.527771,-130.2894135,-135.5090942,-124.0464478,-141.685257,-134.3444366
-154.0855255,-158.3887787,-177.0522919,-155.7902832,-145.5058594,-132.76297,-116.8526535,-128.607193,-135.565979,-123.3315277,-140.5619812,-134.5489044
-153.5797119,-157.7121124,-175.8591919,-154.0167084,-144.3663635,-133.9160614,-116.7506638,-126.7617416,-134.8079071,-122.533493,-139.3677063,-133.7019196
-151.4234924,-158.5918732,-175.7637939,-152.605423,-143.7592316,-133.4697418,-116.5033264,-127.3684387,-133.5431824,-121.735817,-138.6361389,-133.1838226
-153.8909912,-160.1478577,-175.2293091,-151.541275,-142.2137604,-133.3005524,-115.7009277,-126.3368073,-132.1570892,-120.8363419,-137.9239044,-132.2501221
-154.1994171,-157.3642273,-173.250351,-150.4595642,-141.2499695,-132.4980469,-115.4869766,-125.5904465,-131.3391418,-119.9550781,-137.4332886,-134.5075226
-152.8083649,-156.31427,-171.879425,-149.6047516,-143.2507019,-131.4603729,-114.5041504,-125.6302109,-130.330307,-118.8823624,-136.3357391,-133.7489777
-151.4914246,-154.2933502,-170.8645935,-148.6966248,-141.4325867,-129.3509064,-114.0700302,-124.342392,-129.1136169,-118.1191483,-135.1618042,-133.0603943
-149.6514587,-154.958252,-170.3738708,-147.2872314,-142.8370514,-129.208725,-113.2478256,-123.6708908,-129.100296,-117.4618225,-133.5076752,-132.2352448
-148.6207581,-157.6308441,-169.2871704,-146.5856934,-141.8218536,-127.9895859,-113.0137558,-123.6132431,-128.4309845,-116.6822891,-133.686264,-131.4618683
-148.4188995,-156.8557739,-167.4164276,-144.4430847,-141.0907745,-127.6096497,-112.6158676,-122.5194855,-127.0525055,-115.5000229,-132.7307281,-131.3584442
-149.6893616,-156.1275482,-168.7028961,-143.1537476,-140.6521301,-126.4911194,-112.1095123,-123.4253922,-125.5679321,-115.2433929,-131.6717682,-129.984787
-148.6573639,-154.9529572,-167.1058655,-142.1179352,-139.3724213,-127.1133575,-111.831543,-122.8350601,-124.7246017,-115.1439056,-130.5600281,-127.7961273
-146.822052,-153.1435394,-165.2412415,-140.7345276,-141.3101807,-126.516098,-111.397583,-121.8471146,-123.6576157,-114.8522034,-129.1902771,-126.6314011
-146.0676422,-151.8691101,-163.6124115,-140.1141357,-139.7242432,-127.2137451,-110.9279709,-120.6299438,-123.2144928,-112.7559891,-128.2775116,-125.832634
-144.8061066,-150.8616638,-161.8427124,-138.5436707,-138.8228455,-128.8284302,-110.7459183,-120.1328506,-122.0754776,-112.5492401,-127.7335892,-124.6017609
-143.9121094,-151.6217194,-160.6036835,-137.2855072,-138.7970428,-128.2217712,-110.2862625,-119.7187576,-122.3060379,-112.3126755,-126.756073,-124.1676788
-144.165802,-150.5953674,-159.3987732,-136.8045197,-136.4041748,-127.7829132,-109.66259,-118.2924957,-121.545723,-111.4427338,-126.161911,-124.222374
-143.0816193,-149.7418365,-157.5732422,-136.1348419,-135.5029907,-127.0866699,-109.2758102,-117.8375168,-121.0331573,-111.4088898,-125.5607758,-123.0636902
-143.2848511,-148.9659576,-157.0354919,-134.9539337,-134.9651489,-126.3266068,-108.5843658,-117.1747894,-120.6076202,-111.1570358,-125.0530853,-122.5260468
-143.8123169,-148.3625183,-155.4863281,-134.9302521,-135.2341461,-125.5424042,-107.6998672,-117.4708481,-120.8202209,-110.6561966,-124.6394119,-122.4132004
-143.7903442,-147.0393982,-154.1105042,-133.9076691,-133.82724,-124.559227,-106.938652,-117.2038498,-120.5099106,-109.9363556,-124.6541824,-121.333313
-142.954834,-145.9945221,-153.8187103,-132.7967072,-132.8141174,-123.4286804,-106.170372,-116.7000732,-121.3032074,-110.4863052,-123.6659012,-120.4519043
-141.6341095,-145.298233,-152.7274628,-132.8706207,-132.720047,-122.830986,-106.6787643,-115.8939209,-122.0127792,-109.1161499,-122.8616333,-120.0437851
-140.6457977,-143.9762573,-152.1765594,-132.5582275,-133.4576263,-122.8689575,-106.5577469,-115.1416016,-122.0672302,-111.7084808,-122.0566025,-119.1906052
-139.1227417,-143.7006073,-151.2444,-131.5894775,-132.3708038,-122.180603,-106.2341309,-115.1267166,-121.5067444,-110.5335159,-121.6396637,-118.066864
-138.4750366,-142.6278992,-151.2326508,-131.4387512,-131.4108582,-122.0352478,-105.5861511,-114.7669449,-122.4271164,-110.0353928,-121.3160629,-118.0265503
-137.7849274,-141.2548065,-150.6611786,-131.0866699,-131.0593414,-123.6098099,-105.4321747,-114.105484,-121.4875488,-110.0310669,-120.4915161,-117.8105469
-136.988205,-140.5710602,-150.3930206,-130.3285675,-130.5611725,-122.197998,-105.0462341,-114.3193741,-120.2329865,-109.7207108,-120.4647217,-117.5218353
-136.188797,-139.8791656,-149.9765625,-130.0716858,-128.9278107,-121.0133362,-104.8106537,-114.0658035,-118.8301163,-108.7894821,-120.2494659,-116.8113937
-135.6577759,-139.4144135,-149.319809,-128.6916046,-129.3347321,-120.3817978,-104.9754486,-113.5601196,-118.184166,-108.4323883,-119.4690552,-115.6023712
-134.9947968,-138.1354675,-147.7143707,-127.4789581,-128.0810394,-119.4899673,-104.3091354,-112.9875641,-117.3776321,-108.4297943,-118.5028839,-114.7340546
-133.1868591,-136.8409729,-147.63797,-127.2154236,-127.1803513,-119.1322556,-103.8888626,-111.8973618,-116.5736694,-107.6308289,-118.5957642,-116.1433411
-133.1849823,-135.6927185,-146.6591949,-126.4677658,-126.2501907,-118.846756,-104.0215607,-111.7643509,-117.8804321,-107.6853256,-118.2657394,-115.7790298
-132.3976746,-134.655365,-146.0415649,-126.7827682,-126.6608658,-119.0420609,-103.7130508,-111.3661652,-117.0135498,-107.1734619,-118.1686172,-115.239769
-131.5192871,-133.2133331,-144.8286743,-126.8966827,-125.4922562,-118.4491272,-103.1132126,-111.1585846,-117.2557602,-107.0315475,-117.4849014,-114.4920959
-132.7559814,-132.2867126,-144.5894165,-126.1858444,-124.7494278,-117.180603,-102.3073349,-110.2752838,-118.9116745,-106.3320007,-116.9792404,-113.4850006
-132.3478394,-130.6815338,-144.1110687,-125.5907669,-123.9526901,-116.7055893,-102.0216904,-109.9857559,-118.2470856,-105.1251602,-117.1007843,-113.2491379
-131.3351135,-130.4880524,-142.32164,-124.5410004,-123.6561813,-116.0138321,-101.6427155,-109.4853439,-117.8026657,-105.0356522,-116.4815063,-112.5359879
-131.2711487,-129.997345,-141.652359,-123.9624557,-122.9843369,-115.789917,-101.2944717,-109.1524963,-117.6051102,-103.9995575,-115.3988037,-112.2284241
-130.1809998,-129.7786407,-141.0231934,-122.9080353,-122.0415421,-115.3495789,-100.8698044,-108.7056732,-117.9275665,-103.7701111,-114.8676376,-111.5502625
-129.0213013,-128.7350311,-140.4850922,-121.7378693,-121.6246719,-114.7208633,-100.4388046,-108.6069107,-117.1208801,-102.6876068,-115.0879669,-110.3293381
-130.0881958,-129.6583099,-141.5909119,-122.022934,-122.274826,-115.3633881,-101.084816,-107.4655685,-117.7960358,-104.0516052,-115.8791962,-110.8460236
-129.0135345,-126.4907761,-141.1629486,-121.154808,-118.3940048,-113.8866882,-101.272934,-107.2041626,-116.9449615,-104.2313843,-115.8835373,-110.2870865
-129.0653992,-126.0872116,-140.2910309,-119.1108093,-117.6217194,-112.1881027,-100.6747665,-106.2141876,-116.9517822,-104.2301941,-114.1217804,-108.0670776
-126.3213959,-123.059082,-140.9910278,-119.4765167,-113.7173386,-112.472908,-99.87995911,-105.8794479,-115.5498047,-102.0514221,-110.539772,-108.0775986
-125.4369354,-118.9498825,-140.136795,-119.0920944,-112.8979263,-109.2885284,-98.06526947,-103.7067032,-115.600029,-100.6854477,-108.5079193,-107.6137848
-121.7371597,-116.5813141,-140.4823608,-115.5178909,-112.167366,-107.5147858,-96.89524841,-103.5797729,-113.1189651,-100.9411087,-107.7010498,-107.5001907
-120.0533981,-114.2064133,-139.5044708,-112.3275146,-107.0176544,-107.1612244,-96.28378296,-101.2949219,-111.8037033,-99.12097931,-106.3127213,-106.2679062
-118.6134872,-114.8358231,-136.554657,-111.5317154,-106.7620392,-105.0235748,-94.19944763,-101.3618698,-111.5607529,-97.73698425,-105.6060791,-102.7201385
-116.5730209,-114.5018539,-135.2410889,-111.0452042,-105.859436,-104.4359436,-92.87961578,-99.65465546,-111.5222092,-96.87094879,-102.596817,-102.2503052
-116.9304047,-113.5624313,-133.582489,-109.625061,-105.5494766,-102.5299149,-92.04729462,-95.88111115,-110.9498901,-96.6654892,-101.0477829,-99.99448395
-116.5822067,-114.3423309,-131.9084625,-108.8056259,-103.6824493,-101.5305786,-91.39167023,-95.38282013,-107.3565292,-94.99640656,-100.3301163,-99.15618134
-114.7700729,-114.2131653,-131.8960724,-108.7967682,-104.4802322,-100.137825,-87.40505981,-92.52085876,-107.3598022,-94.65155792,-101.1418991,-98.3531189
-114.2716675,-113.4802856,-130.5271301,-109.3034134,-104.0259018,-100.602211,-86.88773346,-92.35250854,-107.0630646,-92.96609497,-98.96141052,-97.05276489
-114.8009949,-112.7557907,-129.7078247,-109.1842651,-103.994606,-98.94493103,-86.53243256,-91.36698151,-103.1248474,-92.81990051,-98.80431366,-96.17771912
-113.4876251,-112.8244095,-129.800766,-107.6056595,-101.5571442,-98.90713501,-85.02381897,-92.19473267,-102.8236313,-89.97042847,-97.90407562,-94.41644287
-113.313797,-112.5099487,-127.5791168,-105.6704712,-100.0383606,-99.61198425,-87.25452423,-91.90367889,-98.20276642,-86.70627594,-97.80795288,-92.71909332
-111.4472885,-112.1410751,-126.0726471,-103.085289,-97.79057312,-99.57845306,-86.89131165,-91.72504425,-97.65987396,-86.75469971,-97.07652283,-91.07992554
-109.3741379,-112.8909531,-122.6621628,-102.0530014,-95.15115356,-97.95081329,-86.67647552,-91.03182983,-97.09867096,-86.52940369,-95.32355499,-88.4861908
-106.3485184,-114.5303955,-121.9356384,-101.2689972,-94.73525238,-100.5532837,-86.14888763,-90.97501373,-98.29138184,-85.61500549,-92.91118622,-87.31502533
-105.0779877,-112.2132721,-121.5733643,-101.4558411,-92.44676971,-99.2874527,-84.10971832,-89.92167664,-97.93595886,-85.22502899,-92.07068634,-87.03837585
-104.5542297,-111.384697,-117.3693771,-100.5021362,-90.62444305,-100.4975052,-83.37680817,-89.55139923,-96.90649414,-85.15380096,-91.15769196,-86.2730484
-103.8370514,-111.6635513,-115.7136536,-97.76213837,-89.26498413,-98.82039642,-81.82365417,-86.021492,-94.85442352,-83.74742126,-90.82648468,-84.58789063
-104.1216888,-109.0301437,-113.9713821,-96.69934845,-89.78799438,-98.20729828,-81.84408569,-85.20872498,-93.14453888,-82.81024933,-90.05634308,-82.87485504
-105.7641296,-106.3936386,-111.3069382,-96.42170715,-89.18370056,-97.81149292,-81.04698944,-84.11193085,-92.67554474,-82.09869385,-89.9691391,-82.85207367
-106.211998,-101.6283188,-111.0184402,-96.67949677,-87.92894745,-97.87706757,-79.35594177,-84.13425446,-89.93286896,-81.04129791,-90.64766693,-80.76127625
-106.3190536,-100.7276001,-112.1518402,-97.84011078,-87.22324371,-98.17053223,-79.13545227,-84.09681702,-90.93243408,-81.65227509,-88.89851379,-79.7171402
-106.6266937,-99.06390381,-111.4304123,-96.25992584,-85.24208069,-97.95027924,-79.2885437,-83.36689758,-88.40099335,-80.46704865,-88.0290451,-78.51800537
-105.1422958,-97.86155701,-111.3810959,-96.33054352,-85.72406769,-97.30422974,-78.14481354,-82.13412476,-87.23246002,-80.43318939,-86.69461823,-78.83170319
-104.5867386,-96.83892822,-110.6316452,-94.04725647,-83.32289886,-95.7868576,-78.37268066,-82.27129364,-88.41600037,-79.67340088,-85.65812683,-77.89659882
-104.8577652,-94.99352264,-108.7435989,-89.94815826,-83.28277588,-94.91728973,-77.78694153,-81.43725586,-86.85334015,-81.70973206,-85.85220337,-77.24721527
-103.6943741,-95.43849945,-106.3808136,-89.15431213,-82.51786041,-93.78526306,-75.63124084,-80.47905731,-88.34853363,-80.77864075,-84.24195099,-78.50458527
-102.0820313,-95.49032593,-104.4935455,-85.65365601,-81.90979004,-93.88396454,-77.97055817,-80.14649963,-89.32839203,-81.18890381,-82.9067688,-78.05460358
-100.5550156,-93.75798035,-104.4502487,-82.65361786,-81.76287079,-94.44284821,-77.94515228,-77.4515152,-88.55910492,-80.23014832,-82.33721161,-76.67570496
-98.3266983,-93.59929657,-103.2407761,-83.29705048,-78.62874603,-92.74758148,-78.32063293,-75.42776489,-90.19546509,-80.81097412,-81.11548615,-76.06607056
-96.86546326,-92.09054565,-101.990593,-79.66921997,-77.94854736,-92.79024506,-77.7779007,-74.97663879,-88.87556458,-79.89840698,-79.7131958,-75.22817993
-96.54738617,-88.56659698,-101.3347092,-78.69472504,-78.2428894,-92.2797699,-78.57131958,-73.99747467,-88.04290009,-79.43843079,-80.49419403,-75.63650513
-95.88288116,-87.38892365,-99.43001556,-76.82549286,-77.86144257,-91.51364899,-81.18621826,-73.61599731,-88.37114716,-79.68743896,-80.53720093,-74.77013397
-96.25019073,-86.99100494,-99.50752258,-76.74091339,-77.54979706,-90.29598999,-79.61457062,-74.29295349,-87.37503815,-78.3074646,-80.28975677,-73.69641876
-95.68315125,-87.10723877,-99.19893646,-78.15732574,-77.08119202,-89.09361267,-78.42694855,-72.52898407,-84.68291473,-78.25435638,-80.96129608,-71.61843109
-94.39161682,-86.33081055,-97.53900146,-78.5895462,-75.74500275,-89.55088806,-78.08322144,-73.41125488,-85.2518692,-78.17749023,-80.19825745,-71.90289307
-94.43534088,-84.5802002,-99.35930634,-77.54356384,-75.88439941,-91.08627319,-77.14889526,-71.79873657,-84.2930069,-77.08442688,-76.81019592,-74.1149292
-93.17024231,-85.57059479,-96.85826874,-76.56021118,-75.36594391,-91.33702087,-76.65042877,-70.12001801,-82.490242,-76.08257294,-75.11494446,-73.34355164
-92.76322937,-83.84914398,-95.07352448,-77.21989441,-75.79888153,-90.86584473,-76.13339996,-70.09674835,-82.75279999,-77.94418335,-73.50674438,-70.28890228
-92.21325684,-83.22024536,-92.6497345,-77.93914795,-76.06743622,-91.59797668,-75.12700653,-69.7589798,-81.11606598,-78.45853424,-74.05069733,-68.27811432
-93.53469849,-83.44538879,-91.77276611,-79.55084991,-75.24667358,-90.67340088,-72.89990997,-67.84844971,-82.4438324,-77.90380859,-76.19703674,-65.5996933
-92.41360474,-79.98451996,-91.79073334,-79.19709015,-74.60523224,-88.07885742,-72.93914032,-67.18945313,-82.31967926,-77.39483643,-76.8326416,-65.46011353
-93.41123199,-80.54450989,-89.18623352,-79.6015625,-73.68479156,-87.30680847,-71.41125488,-64.82193756,-84.06749725,-76.91516113,-77.49375153,-65.10800171
