Small_Avg_Episodic_Reward,Mid_Avg_Episodic_Reward,Large_Avg_Episodic_Reward
112.1510976,219.1257935,131.4644032
24.78244775,139.4236939,216.246727
69.18529257,254.5944824,52.47908211
114.2860896,137.5452118,161.6195374
160.9595475,47.27617645,199.568573
-5.060435,209.9202271,153.5134754
161.1314901,271.9880219,102.6068714
247.5338338,137.9734671,132.443118
222.8943685,49.3197632,281.6369629
265.6874949,271.4293976,245.4108658
72.86964417,231.6942063,133.1819839
159.9201387,261.5680542,268.3330841
238.5528056,261.1005249,223.8367996
-69.47252911,270.3816452,-131.7014808
-14.84387841,129.0083695,260.5963898
41.34504318,254.7233506,289.0573578
127.8086332,266.3550873,12.0259857
242.249354,270.8486481,118.3206
258.5180359,214.7607346,-21.71736905
130.2010397,259.8372269,279.0671235
231.7050171,178.4519272,145.8622334
136.6577117,244.1755982,272.7098389
140.8568192,-147.7043996,259.6185303
5.804578173,-31.2813339,127.4260597
144.7610499,230.6653519,247.3420487
244.8087667,274.1693497,269.8167115
247.7543538,265.0408936,270.8673859
79.45885213,210.7479553,126.3575792
-38.9256684,251.7641983,225.8198777
27.37210273,258.3013382,64.52441405
193.8925501,177.6686745,269.3849945
115.9781825,253.1029053,270.0304108
222.3503062,264.5683899,-32.09014895
48.31639607,219.7590714,-19.21906285
207.0399577,274.782959,100.8243933
225.4707133,250.767479,174.7031288
108.1768824,286.4906235,-170.9917603
222.6478221,208.8459473,229.5166016
150.9798336,264.5275116,-210.1416779
165.0672086,220.2899857,199.0883942
124.598259,257.7441788,-180.7188873
152.512543,247.6485596,19.1057434
165.2930816,223.9324646,140.9243756
228.42541,282.9785767,259.7643204
228.4780833,294.038971,-57.25378415
255.4509125,31.20626879,233.1509857
-83.67777506,-14.35881045,220.2186585
161.308926,255.157608,137.7668052
252.490448,264.9997254,-84.61067297
150.8728433,263.6314163,106.1871014
-126.0740102,287.4332428,209.4142685
163.0398286,264.8143311,281.6141663
44.01280785,208.103302,168.5689535
39.44815221,288.3522644,298.687439
52.87539673,261.3601151,-282.5118714
81.43706002,253.4284973,123.0642486
147.3603452,242.2071228,61.3937111
160.7569288,249.5072708,246.4730378
190.3351644,264.5041275,142.6921592
180.511996,247.4316025,265.8504791
191.9964682,105.6810189,249.8936539
161.7082157,271.4878159,182.3670426
116.9454466,36.04760361,104.448389
83.79614702,155.1275635,245.6213303
-16.40203986,148.8556738,252.5159302
156.3669523,279.8204346,231.4277878
237.14033,245.8757401,249.8497391
239.6795349,21.24737322,243.3249436
78.73408765,153.9827957,143.3731556
248.94399,187.996605,264.4182739
141.1946996,175.9607048,103.9281137
-57.69553123,121.9697528,239.4463578
209.9589844,84.7862854,-57.31548693
258.7612864,128.7850685,276.2857971
32.12472027,249.0750504,131.7869615
179.6232675,179.1041603,92.55691145
4.15299352,161.7465572,246.5269928
51.9800415,231.2419281,274.1302033
111.1276703,282.5435791,251.9228363
122.061676,-24.66426086,134.8833237
82.77142221,292.6537476,31.321373
108.5162303,-202.9493561,92.86308287
130.7462019,-108.6394119,159.6709537
75.6706136,279.3880615,263.4018707
119.8791854,244.475235,192.1434937
18.60885619,252.9784393,121.8282733
130.5597604,245.4962006,253.7735138
222.9551087,281.7464905,114.1204214
222.3068441,-212.7084808,116.2405348
103.1148092,200.5591736,127.5377514
256.4502157,224.7238159,268.7578888
20.74540713,315.8232727,265.3038559
201.7205861,181.3058777,241.4413605
260.6871033,280.1028442,95.32973908
214.4964701,267.7455139,260.3198243
166.4862582,271.3117065,191.0988617
260.4193319,-223.9130249,126.2847099
92.13017273,36.34566498,150.7228661
22.27860767,265.8361816,-219.3613129
221.7309062,253.0430756,9.7510223
254.8983866,223.7246704,271.6400452
37.88430788,272.5870667,167.7776089
114.3172709,137.5276031,134.8119011
-67.85822297,-276.3128357,253.4909745
146.2174632,-157.1345825,279.8428498
68.09147137,260.5382996,138.3411255
158.3381449,231.9919281,141.4222156
8.628877003,35.69574738,105.7034454
226.7180125,306.2026367,137.6192017
237.4633484,-7.406889915,-30.8565521
106.3198954,3.331891298,121.8384762
261.2654216,285.3797302,199.1182938
-267.6775862,28.79985619,239.9706345
126.7474372,-30.9596653,255.4990845
243.1893412,-16.82077789,276.5047303
84.75046283,-127.3977814,266.414383
169.6023636,19.80024719,233.3722
168.2115466,-228.9118958,270.2922211
216.0856934,13.76999855,251.3350601
157.7834822,-107.1763763,265.8908844
166.5056,-229.8096008,286.0239716
169.7394587,-111.0883865,285.0515442
251.9844208,-17.12223053,147.9280377
80.76243083,-246.1324463,269.9016342
1.9070231,-0.576894939,154.8252321
199.4398982,214.7835999,133.1116185
172.7392591,-62.81358719,261.9776917
208.1155853,237.4015656,175.7889919
174.6220935,245.0601501,133.0190749
140.39748,284.6731567,273.4285431
218.108373,242.584259,-17.31092835
250.3094177,208.5871124,228.0642929
238.0935262,244.3553772,259.4954987
53.52660879,-64.32523346,102.6640911
150.164917,260.9584656,163.5833531
155.821209,256.5144043,142.1472551
234.3883768,270.1686707,258.8355484
161.0763321,235.5698242,141.9205599
254.5492045,-23.49564171,236.4732438
149.9761671,-200.9440308,154.1977262
109.4879303,240.9048462,147.6762314
216.3092601,281.1430969,260.0380402
235.3677928,-122.2577209,154.9743061
172.1117452,219.0990143,275.7149811
115.2093455,5.033874035,191.970974
236.5054627,243.3306427,257.9937439
221.6943614,222.3908997,-165.8974457
198.3129323,239.4961243,3.680387259
175.7974345,261.1659546,259.1437073
165.785127,262.7276611,217.6842804
138.3000655,250.067276,103.1554947
164.8487644,228.5810394,268.7225647
127.8683929,239.0695343,208.1384125
175.8750225,275.2762756,245.5076752
250.725352,234.5146484,66.2685318
88.50122802,-37.84457016,274.5917664
259.6718546,291.4431763,267.4289856
174.5401331,39.88527679,276.0444336
170.4292228,276.2604065,-194.5227203
282.3777466,241.7650452,197.4504242
234.3983663,-77.00353241,26.08414459
47.57428742,217.0459747,249.8090515
4.710508995,289.2769775,246.9719849
146.341774,232.9954987,260.3866272
242.0681559,263.571991,249.1230621
247.2746022,258.9909973,235.186264
117.5045344,272.3611755,249.8983154
254.6621144,258.2284546,287.8098145
129.478775,268.6838684,272.1048889
5.157649993,301.7013855,-19.93870163
109.812734,246.2631378,-1.644994974
190.4942029,258.6166992,258.5168762
250.5512746,120.106987,264.3678894
238.5801799,250.9104309,18.4483757
285.0117289,247.8334198,277.5484619
167.3576744,262.6138611,284.8704529
227.3938751,298.3701782,244.0270691
264.9610697,262.8318787,244.4112854
210.8872528,257.140564,19.97710609
252.6235606,288.1061707,258.5575867
197.9872233,278.4407654,269.2843323
226.7737274,268.3228149,276.1273804
243.639267,249.8308105,273.2063599
244.5641632,239.6644745,250.4633636
4.958285335,267.7777405,88.93502808
-37.13304299,213.1358185,299.1750488
-3.49677676,266.0818787,14.13595963
63.81816103,236.019928,280.2186279
231.0518494,292.8389282,242.4884949
68.228981,275.9382019,268.2769775
90.5284748,268.2166748,269.0485229
75.99089243,286.5245056,250.7733612
218.2960663,290.2701416,237.3436127
129.8812866,299.2807617,277.3943481
122.1251812,-29.32258415,295.4606018
249.6873474,56.46137619,239.5827332
208.6532288,14.33974838,293.6796875
127.6796816,257.8782349,259.3320923
301.7990723,269.4525452,268.2319641
253.6869889,246.3554535,-18.54869652
15.41298675,236.1795959,264.9487915
237.2718048,42.57601929,-181.6157074
-24.8170929,12.4907608,154.5082855
216.1588516,-46.69828796,252.5917206
93.65122701,245.2111816,246.2844696
-97.26528165,-229.5781555,259.347168
-32.2043152,255.4706421,266.5630493
228.2094345,184.3803864,256.8032837
247.8550644,-39.52143478,226.3299103
241.1617356,-110.6832428,277.5982971
246.3893051,-24.03006744,256.2380066
245.7387848,-200.3120117,245.4708557
260.7724762,-158.7175903,279.6893616
247.4156876,-108.5148697,4.386952877
276.4980469,-138.8576813,250.5717468
243.3227997,-133.1123962,264.1754456
213.5813217,4.310180664,310.8344421
253.980156,-260.6437988,223.7134552
256.4355011,-312.6187744,4.777331352
132.6213694,-161.0730743,36.58807373
5.3286896,52.31725311,271.2051086
256.7041473,-109.9096527,264.0729065
105.9909733,-197.7696838,-198.6891785
179.573906,-34.68140793,262.7202759
258.8806916,-74.22010803,-1.998886347
265.2658386,-62.30081177,303.2288208
245.7038727,269.3689575,-62.72036743
239.2251434,244.2337341,-46.85816193
247.6020966,-50.80854416,266.5935059
233.0683441,-20.04089928,253.5576172
261.9385758,55.02298355,281.4273071
248.9144821,263.1269836,279.8297424
273.6198731,237.6144714,266.2319336
263.2802048,33.17718506,281.8308716
268.6158295,-59.01938248,275.6979065
208.0276108,-94.92464447,255.218689
126.1078835,111.441864,-235.0157166
273.660431,-102.2571182,50.60723114
230.3893814,-7.025690556,273.1621399
236.9996338,266.7046509,249.5209808
259.4186325,-69.31247711,249.0785065
249.5690155,205.5989838,253.3417816
156.4625263,-1.110035658,280.3457336
262.9716644,10.23041821,253.1622467
228.8551407,-80.14243317,250.8928986
241.2821045,241.6204071,253.861084
115.6594105,-32.62762451,294.4721985
224.7279663,246.4210815,37.3804512
64.3836403,-158.2921906,223.5086975
158.779747,268.8865967,260.1682434
268.0917511,-275.863678,281.238739
0.088387042,240.9432373,54.66110992
144.7967472,252.0133514,-221.886673
269.5900116,-63.23748398,15.10321045
144.5997338,-191.5893402,270.4628601
259.6849442,220.1072693,255.9403992
244.5537567,202.4960938,14.24021721
261.2744065,250.7947083,38.9683876
109.9732552,199.1744232,276.8095398
236.5956574,-8.679853439,292.2325439
140.0637584,224.6411896,277.382019
272.184845,40.60702896,69.34230042
226.3654938,-154.2266083,291.4224243
250.4975586,39.6254921,288.3609619
137.8575363,276.6114502,272.4924927
130.1117534,221.2162476,-250.7932587
73.49176028,284.634613,284.0309448
260.2458267,226.7851105,-170.7796631
229.0152588,38.25268555,196.4312439
257.7483215,267.287262,254.906311
290.441391,122.3669586,217.508316
159.2935734,272.7344971,6.444318295
254.8411866,224.3270569,228.8182831
283.2588959,236.0924835,287.1088867
259.8009949,206.4190674,56.74245834
160.7969837,252.8779144,28.06625366
160.5068073,220.9423523,277.1705627
270.4804382,283.8645935,291.2145996
141.9794717,266.0344238,-141.4053955
195.4834023,216.4968567,220.4299469
252.4560089,240.0171051,254.440979
241.9199677,254.5701141,266.9277344
261.5272217,273.3244934,-4.92392683
243.4548035,237.0302277,266.8557739
286.9956818,260.0713501,277.5782166
247.9210663,-397.6269226,303.9376221
101.2961807,138.6512299,0.316796839
236.0192566,246.5336304,278.3717041
244.3439331,217.6829529,291.6755066
244.7618103,-219.4116364,-141.7885284
245.5461578,275.5248413,32.8396225
243.1443939,252.4762573,251.9181824
240.7975922,26.65267563,261.7810059
241.1167908,248.1027527,267.4513245
277.9750366,256.2840576,269.1138
182.7080078,260.7322388,140.8127747
-108.8423996,274.1447449,47.79931641
31.24258614,-302.7475281,280.5542297
21.05447388,274.0086365,287.3093872
291.0007019,-221.2481995,245.6821899
269.7457275,260.006012,248.0772247
293.6980591,-233.6840668,289.1508484
263.3774719,263.9150085,306.0506897
,242.3943634,12.98163891
,282.5913391,253.2225342
,-15.6305542,285.6237488
,-175.9685364,281.1175842
,251.6614532,14.27256489
,234.5593109,292.9554138
,198.7088623,284.0365295
,237.8776398,253.2006378
,282.5479736,289.9022827
,10.77854443,215.0707855
,249.7481995,287.1209412
,-400.0465088,270.4317017
,-282.1851501,271.0229187
,194.6402283,254.2085419
,-468.7015076,279.7011414
,-269.0288391,24.1428051
,-69.48534393,277.1894226
,268.907135,260.7826233
,13.67125607,278.3522644
,263.1945801,270.2236938
,277.7135315,257.5880127
,258.2192993,174.2410431
,264.175415,236.0973969
,260.9785156,295.0427551
,-175.9450684,263.0871582
,-48.25201797,277.9671021
,-162.7560577,299.7486267
,-115.5942307,254.8738098
,-226.0272675,269.2572327
,216.0613708,283.147522
,-161.8096771,-300.4000854
,-168.9130554,278.1671448
,-99.20654297,273.8421326
,-215.3084106,263.7109375
,-209.0151062,275.4107666
,275.5725403,271.9909668
,-222.6112671,282.7225952
,245.5343475,249.3069916
,282.5274963,280.6144714
,-171.1883698,224.4328613
,-200.7200012,238.8294525
,-164.004776,87.49898529
,-238.5436096,276.624115
,264.824646,4.070549488
,-241.4914398,34.26809311
,248.6106567,244.7967377
,245.3297424,-23.14139557
,-229.118988,282.446106
,-194.0469513,298.7291565
,-211.0114136,59.3057785
,223.9504395,282.3971863
,279.9086304,
,213.8370056,
,269.9924011,
,15.97479057,
,-193.6482391,
,237.187912,
,288.9378662,
,-166.7711792,
,289.5402832,
,-214.737381,
,257.3406982,
,162.0602722,
,37.32049942,
,280.5518494,
,311.0802612,
,304.5532532,
,308.9589539,
,286.3831482,
,290.058075,
,-4.900883675,
,301.3683472,
,272.3917542,
,270.8359375,
,294.2198792,
,265.6729431,
,253.3730316,
,222.2254028,
,3.678512096,
,247.9247589,
,209.7726746,
,247.2115021,
,270.2795105,
,283.7929993,
,264.1943359,
,23.4652195,
,-22.7166748,
,291.2720032,
,290.6285095,
,-35.43509293,
,282.3543396,
,281.1906128,
,250.5622101,
,251.481308,
,270.5397339,
,244.2475281,
,251.4893188,
,265.5038147,
,274.6430359,
,261.5664978,
,272.3962097,
,258.462738,
,268.0148621,
,242.2051086,
,211.5306396,
,299.858429,
,252.0085907,
,256.8845215,
,-0.899495482,
,269.1991272,
,283.5189514,
,261.9916382,
,290.6400452,
,254.6170502,
,265.7333374,
,235.4992523,
,303.9562378,
,226.8695374,
,250.1843872,
,261.8840637,
,253.1680756,
,284.3289185,
,-258.9747314,
,-346.7153015,
,264.8935547,
,268.1777649,
,268.5188904,
,261.7938538,
,212.8462219,
,46.97715378,
,245.5167236,
,225.1907501,
,277.3546143,
,272.3614807,
,257.8389587,
,240.4664612,
,-2.897626162,
,295.3295593,
,304.4958191,
,282.182373,
,277.0396729,
,-16.09413719,
,287.2980042,
,226.7370911,
,310.0621948,
,206.4567566,
,238.4004974,
,255.679657,
